WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="228", group="280", value="     1"
SYMBOL: layer="0", name="*Model_Space", org=(0,0), 0 entities.
WARNING (001872): BLOCK object group 67 unknown/not supported - ignored.
WARNING (001888): BLOCK object group 3 unknown/not supported - ignored.
WARNING (001890): BLOCK object group 1 unknown/not supported - ignored.
SYMBOL: layer="0", name="*Paper_Space", org=(0,0), 0 entities.
WARNING (001900): BLOCKS section group 67 unknown/not supported - ignored.
WARNING (001928): BLOCK object group 3 unknown/not supported - ignored.
WARNING (001930): BLOCK object group 1 unknown/not supported - ignored.
SYMBOL: layer="0", name="*Paper_Space0", org=(0,0), 0 entities.
SPLINE entity, line 1950
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=20
SPLINE entity, line 2122
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=24
SPLINE entity, line 2326
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=24
SPLINE entity, line 2530
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=24
SPLINE entity, line 2734
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=16
SPLINE entity, line 2874
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=28
SPLINE entity, line 3110
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=36
SPLINE entity, line 3410
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=24
SPLINE entity, line 3614
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=20
SPLINE entity, line 3786
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=24
SPLINE entity, line 3990
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=440
SPLINE entity, line 7522
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=24
SPLINE entity, line 7726
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=92
SPLINE entity, line 8472
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=16
SPLINE entity, line 8610
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=136
SPLINE entity, line 9708
SPLINE: layer="Capa 1", flags=0x0B, degree=3, num knots=24
